,address,categoryName,phone,postalCode,reviewsCount,state,title,website
124,"MEHBOOB E SUBHANI MASJID, 250 BHALEKAR WADI, New Mill Rd, beside MADINA HOTEL, Kurla West, Mumbai, Maharashtra 400070, India",Baby store,+91 78604 04303,400070.0,454,Maharashtra,Kohinoor Enterprises diaper disposable,
123,"Office No. 503, Signature Business Park, Postal Colony, Chembur, Mumbai, Maharashtra 400071, India",Baby store,+91 91676 84171,400071.0,9,Maharashtra,Coos N Babbles,https://www.coosnbabbles.com/
118,"opp. City Plaza, next to Dinar Building, Bajaj Wadi, Railway Colony, Santacruz (West), Mumbai, Maharashtra 400054, India",Baby store,+91 99679 58204,400054.0,3,Maharashtra,54 Kids Street,
117,"Shop no 41, Dwarka Building, no3, Station Road, near Nityanand hotel, MHADA Colony, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077, India",Baby store,,,6,,AAI Agency wholesale diaper.,
115,"Shop Number 3, Nari Seva Sadan Rd, Asalpha village, Ghatkopar West, Mumbai, Maharashtra 400084, India",Baby store,+91 99876 41437,400084.0,2,Maharashtra,Aadi Baby Care,
113,"Santacruz Railway Station Rd, near DINAR BUILDING, opposite Keravala Lodge, Navin Nagar, Willingdon, Santacruz (West), Mumbai, Maharashtra 400054, India",Baby store,+91 99679 58204,400054.0,5,Maharashtra,ALIZA DIAPERS,
108,"Sai Kiran Apartments, Central Aveneu Road, Dayanand Saraswati Rd, Mahadeo Wadi, Chembur, Mumbai, Maharashtra 400071, India",Baby store,+91 86527 67395,400071.0,18,Maharashtra,Tiny Tots,
107,"Flat no 302, Shree Saraswati CHS, Bldg B-1, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071, India",Baby store,+91 90828 14408,400071.0,99,Maharashtra,Little And Wise,http://www.littleandwise.in/
134,"Shop N2, Vidy Bar, Sai Baba Mandir, Plot N21, Rafiq Nagar Rd, Govandi Slums, Rafiq Nagar, Govandi East, Mumbai, Maharashtra 400043, India",Baby store,+91 99872 05226,400043.0,0,Maharashtra,Rubeena Store,
105,"Rd No. 1, near Ambedkar Garden, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India",Baby store,,400071.0,5,Maharashtra,Festoons (For New Borns to Toddlers),
